boro,Name_Proper,maintenance_funding,private_funding,ACREAGE
Queens,Bayside Fields,7051,0,2.69
Queens,Bayside Playground,4707,0,1.21
Queens,Bayswater Park,91307,0,40.07
Brooklyn,Bayview Playground,9325,0,1.21
Staten Island,Bayview Terrace Park,13,0,16.94
Queens,Beach Channel Park,2190,0,12.62
Queens,Beach Channel Playground,6899,0,1.05
Bronx,Beanstalk Playground,7299,0,0.27
Brooklyn,Beattie Square,5599,0,0.01
Bronx,Beatty Plaza,5425,0,0.1
Brooklyn,Beaver Noll Park,3293,0,0.44
Staten Island,Bedford Green,2080,0,0.11
Brooklyn,Bedford Playground,16927,0,1.
Bronx,Behagen Playground,37987,0,3.35
Queens,Bell Malls,4704,0,1.65
Bronx,Bell Tower Park,1264,0,0.5
Queens,Bellaire Playground,28864,0,0.81
Queens,Bellerose Playground,11414,0,1.
Manhattan,Bellevue SouthPark,36004,0,1.59
Bronx,Belmont Playground,29197,0,2.21
Brooklyn,Belmont Playground (Brooklyn),10173,0,0.68
Queens,Belt Parkway,25,0,202.65
Brooklyn,Belt Parkway/Shore Parkway,3503,0,760.43
Queens,Belt Parkway/Shore Parkway,3503,0,760.43
Bronx,Benjamin Gladstone Square,6847,0,0.2
Manhattan,Bennett Park,35763,0,1.8
Manhattan,Bennett Rest,325,0,3.57
Queens,Benninger Playground,10799,0,0.57
Brooklyn,Benson Playground,26066,0,0.93
Brooklyn,Bensonhurst Park,228093,0,17.5
Brooklyn,Bergen Beach Playground,1773,0,0.93
Bronx,Bergen Triangle,6684,0,0.21
Brooklyn,Berry Playground,6610,0,0.33
Brooklyn,Berry Street Garden,234,0,0.14
Brooklyn,Betsy Head Park,83769,0,10.56
Bronx,Bicentennial Veterans Memorial Park,9270,0,9.4
Queens,Big Bush Playground,12252,0,2.5
Brooklyn,Big Red Garden,279,0,0.04
Brooklyn,Bildersee Playground,29490,0,1.42
Manhattan,Bill Bojangles Robinson Playground,7349,0,0.17
Brooklyn,Bill Brown Playground,38165,0,3.21
Bronx,Bill Rainey Park,36636,0,7.74
Bronx,Black Rock Playground,4254,0,0.32
Manhattan,Blake Hobbs Playground,7158,0,1.
Queens,Bland Playground,3911,0,0.55
Manhattan,Bleecker Playground,11691,0,0.36
Queens,Block Association #81,0,0,0.12
Staten Island,Bloomingdale Park,89130,0,138.1
Manhattan,Bloomingdale Playground,52241,0,0.72
Staten Island,Blue Heron Park,24013,0,217.45
Staten Island,Blueberry Park,1095,0,0.72
