boro,Name_Proper,maintenance_funding,private_funding,ACREAGE
Manhattan,Fishbridge Garden,1404,0,0.1
Queens,Fisher Pool,99927,0,0.82
Brooklyn,Flatbush Malls,1384,0,1.55
Queens,Fleetwood Triangle,1826,0,0.03
Queens,Flight 587 Memorial Park,4538,0,0.16
Bronx,Flood Triangle,7359,0,0.07
Brooklyn,Floral Vineyard,0,0,0.11
Brooklyn,Floyd Patterson Ballfields,6573,0,2.3
Queens,Flushing Fields,32394,0,7.67
Queens,Flushing Greens,3144,0,1.08
Queens,Flushing Meadows Corona Park,2111504,595902,897.69
Bronx,Flynn Playground,17350,0,0.82
Queens,Foch Sitting Area,2035,0,0.05
Bronx,Fordham Landing Playground,12842,0,3.9
Staten Island,Forest Grove,3068,0,0.39
Staten Island,Forest Mall,1924,0,0.45
Brooklyn,Forest Park,1112711,0,506.86
Queens,Forest Park,1112711,0,506.86
Brooklyn,Fort Greene Park,346103,0,30.17
Brooklyn,Fort Hamilton Athletic Field,19227,0,6.02
Brooklyn,Fort Hamilton Triangle,1825,0,0.02
Staten Island,Fort Hill Park,2278,0,0.85
Bronx,Fort Independence Playground,99127,0,3.02
Brooklyn,Fort Stirling Park,12921,0,0.21
Queens,Fort Totten Park,116380,0,60.39
Manhattan,Fort Tryon Park,129036,0,67.21
Manhattan,Fort Washington Park,97119,984,184.14
Bronx,Fountain Of YouthPlayground,9158,0,1.38
Brooklyn,Four Sparrow Marsh,676,0,64.67
Brooklyn,Fox Playground (Brooklyn),34397,0,2.27
Bronx,Fox Playground,12049,0,0.94
Queens,Francis Lewis Park,15587,0,16.83
Queens,Francis Lewis Playground,8653,0,1.21
Queens,Frank D. O'Connor Playground,58619,0,1.54
Queens,Frank Golden Park,9598,0,11.42
Queens,Frank Principe Park,37295,0,8.9
Manhattan,Frank White Memorial Garden,0,0,0.09
Staten Island,Franklin D. Roosevelt Boardwalk And Beach,824079,0,644.35
Bronx,Franklin Memorial Garden,0,0,0.12
Bronx,Franklin Triangle,1736,0,0.12
Bronx,Franz Sigel Park,74364,0,15.99
Brooklyn,Fraser Square,2467,0,0.67
Manhattan,Fred Samuel Playground,38776,0,0.69
Queens,Frederick B. Judge Playground,32890,0,2.22
Manhattan,Frederick Douglass Playground,58330,0,1.95
Manhattan,Frederick Johnson Playground,55061,0,4.09
Queens,Freedom Square Playground,8826,0,0.33
Brooklyn,Freedom Triangle,4589,0,0.
Bronx,Freeman Triangle,3282,0,0.02
Brooklyn,Fresh Creek Nature Preserve,8764,0,77.04
Queens,Fresh Meadows Park,1231,0,1.23
Queens,Fresh Meadows Playground,9525,0,1.35
Staten Island,Freshkills Park,29455,0,920.43
Brooklyn,Friends Field,35499,0,6.7
Queens,Frontera Park,25402,0,1.47
Brooklyn,Frost Playground,18341,0,0.74
Brooklyn,Fruit Street Sitting Area,11420,0,0.92
Brooklyn,Fulton Park,21279,0,1.99
Staten Island,Gaeta Park,3984,0,1.43
Brooklyn,Galapo Playground,27145,0,0.57
Bronx,Galileo Playground,9879,0,0.71
Manhattan,Garden,78,0,0.05
Brooklyn,Garden,7,0,0.1
Bronx,Garden,0,0,0.25
Brooklyn,Garden,0,0,0.25
Staten Island,Garden,0,0,0.25
Brooklyn,Garden,0,0,0.09
Brooklyn,Garden,0,0,0.09
Brooklyn,Garden,0,0,0.08
Brooklyn,Garden,0,0,0.07
Brooklyn,Garden,0,0,0.07
Queens,Garden,0,0,0.07
Brooklyn,Garden,0,0,0.06
Brooklyn,Garden,0,0,0.06
Brooklyn,Garden,0,0,0.06
Brooklyn,Garden,0,0,0.05
Manhattan,Garden,0,0,0.04
Brooklyn,Garden,0,0,0.03
Bronx,Garden Of Eden,0,0,0.21
Bronx,Garden Of Happiness,0,0,0.33
Bronx,Garden Of Life,546,0,0.18
Manhattan,Garden Of Love,0,0,0.09
Brooklyn,Garden Party,0,0,0.23
Brooklyn,Garden Playground,16612,0,0.92
Brooklyn,Gardens Of Union,0,0,0.2
Brooklyn,Garibaldi Playground,24272,0,0.44
Queens,Garlinge Triangle,721,0,0.01
Bronx,Garrison Park,0,0,1.
Bronx,Garrison Playground,4469,0,0.7
Bronx,Gasoline Alley,1430,0,0.67
Brooklyn,Gateway Triangle,2210,0,0.07
Queens,Gemini Fields,8526,0,10.76
Staten Island,Gen. Douglas Macarthur Park,20347,0,5.17
Queens,Gene Gray Playground,4590,0,0.23
Queens,General Hart Playground,30611,0,0.9
Manhattan,Generation X,40,0,0.11
Bronx,Genesis Park Community Garden,0,0,0.05
Queens,George Eagle Carr Community Garden,156,0,0.12
Brooklyn,George Walker Jr. Park,9196,0,0.59
Queens,George Washington Carver Botanical Garden,0,0,0.06
Brooklyn,Georgia Ave Garden,0,0,0.04
Manhattan,Gertrude Ederle Recreation Center,23527,0,0.69
Brooklyn,Gethsemane Garden,0,0,0.05
Brooklyn,Gilbert Ramirez Park,8913,0,1.03
Bronx,Givan Square,13992,0,1.82
Bronx,Givans Creek Woods,5321,0,10.74
Queens,Gladys Warren Triangle,1159,0,0.11
Queens,Glen Oaks Oval,4679,0,2.95
Queens,Glendale Veterans Triangle,689,0,0.01
Brooklyn,Glenmore Hendrix Block Association,0,0,0.03
Queens,Glenwood Landing,1174,0,0.3
Brooklyn,Glenwood Playground,26941,0,1.43
Bronx,Goble Playground,12657,0,0.38
Brooklyn,Golconda Playground,21752,0,1.5
Brooklyn,Gonzalo Plasencia Playground,14432,0,1.24
Brooklyn,Good Shepherds Garden,0,0,0.11
Staten Island,Goodhue Park,7771,0,26.53
Brooklyn,Goodwin Gardens,0,0,0.35
Queens,Gordon Triangle,2551,0,0.08
Queens,Gorman Playground,37793,0,2.76
Bronx,Gouverneur Morris Triangle,2024,0,0.31
Bronx,Gouverneur Playground,26677,0,0.98
Brooklyn,Grace Playground,15531,0,2.74
Brooklyn,Grady Playground,16527,0,3.4
Bronx,Graham Triangle,2849,0,0.13
Manhattan,Grand Canal Court,6033,0,0.13
Queens,Grand Central Parkway,2133,0,171.2
Queens,Grand Central Parkway Extension,2112,0,248.37
Brooklyn,Grand Ferry Park,7709,0,1.7
Bronx,Grand Playground,7600,0,0.38
Queens,Grand Slope,3640,0,0.21
Brooklyn,Grand St. Community Garden,0,0,0.05
Brooklyn,Granite St Block Association,0,0,0.17
Staten Island,Graniteville Quarry Park,7397,0,4.47
Staten Island,Graniteville Swamp Park,2652,0,9.19
Bronx,Granja Farm Otf,5,0,0.38
Brooklyn,Grant Gore,4654,0,0.02
Bronx,Grant Park,24804,0,3.85
Queens,Grassmere Playground,5253,0,1.24
Brooklyn,Gravesend Park,37447,0,6.38
Brooklyn,Gravesend Triangle,481,0,0.06
Staten Island,Great Kills Park,113359,0,315.09
Staten Island,Great Kills Veterans Playground,7986,0,1.07
Manhattan,Greeley Square Park,144,0,0.14
Brooklyn,Green Central Knoll,10699,0,2.74
Brooklyn,Green Gems,0,0,0.49
Manhattan,Green Oasis And Gilbert's Garden,5,0,0.39
Brooklyn,Green Valley Garden,546,0,0.19
Staten Island,Greencroft Playground,14914,0,3.23
Brooklyn,Greene Av United Neighbors Association Inc,0,0,0.05
Brooklyn,Greene Playground,40365,0,1.26
Brooklyn,Greenpoint Playground,38563,0,0.5
Brooklyn,Greenwood Playground,24665,0,3.39
Brooklyn,Gregory's Garden,0,0,0.12
Bronx,Grove Hill Playground,10651,0,1.19
Queens,Grover Cleveland Playground,54067,0,5.1
Bronx,Gun Hill Playground,22013,0,0.72
Manhattan,Gustave Hartman Square,3353,0,0.1
Manhattan,Gutenberg Playground,5390,0,0.55
Bronx,Hackett Park,5720,0,1.
Bronx,Haffen Park,133406,0,9.24
Queens,Haggerty Park,32819,0,3.87
Bronx,Half-Nelson Playground,7959,0,0.61
Queens,Hallets Cove Playground,30880,0,5.84
Brooklyn,Halsey And Ralph Garden,0,0,0.07
Brooklyn,Halsey Garden,0,0,0.12
Manhattan,Hamilton Fish Park,26555,0,4.3
Brooklyn,Hamilton Metz Field,41034,0,2.11
Queens,Hammel Playground,87155,0,1.03
Manhattan,Hancock Park,3640,0,0.07
Brooklyn,Hancock T And T,78,0,0.08
Manhattan,Hansborough Recreation Center,6066,0,0.29
Manhattan,Happy Warrior Playground,34517,0,1.7
Bronx,Harding Park,5074,0,2.16
Bronx,Harding Park Beautification Project,1486,0,1.16
Manhattan,Harlem Art Park,5793,0,0.35
Manhattan,Harlem Grown,0,0,0.03
Manhattan,Harlem Rbi,336,0,0.9
Manhattan,Harlem River Park,27161,0,5.76
Manhattan,Harlem River Park,23903,0,0.2
Manhattan,Harlem River Park,12172,0,46.65
Manhattan,Harlem River Park,2968,0,0.35
Manhattan,Harlem River Park,2619,0,0.27
Manhattan,Harlem Rose Garden,0,0,0.16
Manhattan,Harlem Valley Garden,0,0,0.06
Brooklyn,Harmony Park,10686,0,1.56
Brooklyn,Harmony Triangle,9001,0,0.1
Brooklyn,Harold Ickes Playground,10922,0,1.82
Queens,Harold Schneiderman Playground,30638,0,0.88
Manhattan,Harris Garden,2028,0,0.11
Bronx,Harris Park,58581,0,15.32
Brooklyn,Harry Chapin Playground,10342,0,0.3
Brooklyn,Harry Maze Playground,24983,0,2.43
Queens,Hart Playground,10046,0,0.82
Brooklyn,Hart To Hart,0,0,0.33
Queens,Harvard Playground,7181,0,0.58
Queens,Harvey Park,27642,0,9.15
Brooklyn,Hattie Carthan Community Garden,100,0,0.81
Brooklyn,Hattie Carthan Herb Farm,0,0,0.14
Brooklyn,Hattie Carthan Playground,36126,0,1.2
Bronx,Havemeyer Garden,0,0,0.14
Bronx,Havemeyer Playground,6798,0,0.44
Manhattan,Haven Avenue,0,0,1.38
Bronx,Haviland Playground,4092,0,0.84
Bronx,Hawkins Park,6401,0,0.14
Bronx,HeathTriangle,757,0,0.11
Brooklyn,Heckscher Playground,31556,0,1.24
Brooklyn,Heffernan Triangle,3640,0,0.03
Brooklyn,Heisser Triangle,5094,0,0.03
Manhattan,Hell's Kitchen Park,11261,0,0.58
Queens,Hempstead Ballfield,3282,0,1.94
Queens,Hempstead Bench Spread,3685,0,0.27
Brooklyn,Hendrick I. Lott House,1387,0,0.73
Manhattan,Henry Garnet Garden,0,0,0.07
Bronx,Henry Hudson Park,80262,0,8.97
Bronx,Henry Hudson Parkway,1161,0,54.1
Manhattan,Henry M. Jackson Playground,5044,0,0.61
Brooklyn,Her-King Alagantic Garden,0,0,0.05
Manhattan,Herald Square,0,0,0.21
Brooklyn,Herbal Garden,0,0,0.25
Brooklyn,Herbert Von King Park,187822,0,7.82
Staten Island,Heritage Park,2820,0,9.93
Brooklyn,Herman Dolgon Playground,40316,0,1.89
Staten Island,Hero Park,5216,0,3.02
Brooklyn,Hickman Playground,7400,0,2.66
Bronx,Highbridge Park,330436,5000,130.1
Manhattan,Highbridge Park (Manhattan),330436,5000,130.1
Bronx,Highbridge Park,10622,5000,0.82
Brooklyn,Highland Park (Brooklyn),295864,0,146.75
Queens,Highland Park (Queens),295864,0,146.75
Brooklyn,Hillside Dog Park,2943,0,1.37
Queens,Hillside Playground,6688,0,1.16
Brooklyn,Hilltop Playground,13218,0,1.1
Queens,Hilton Holiday Gardens,3908,0,1.2
Bronx,Hilton White Playground,11434,0,0.48
Bronx,Hines Park,9441,0,0.38
Queens,Hinton Park,27912,0,3.74
Bronx,Hoe Ave NorthTot Lots,0,0,0.05
Bronx,Hoe Garden,0,0,0.23
Queens,Hoffman Park,26496,0,2.86
Manhattan,Holcombe Rucker Park,49188,0,3.05
Queens,Hollis Playground,16571,0,0.98
Queens,Hollis Veterans Square,1027,0,0.02
Brooklyn,Homecrest Playground,30448,0,2.37
Queens,Hook Creek Park,1496,0,111.16
Queens,Hoover - Manton Playgrounds,43509,0,5.2
Brooklyn,Hoparkinson R&L Block Association Garden,0,0,0.1
Brooklyn,Hope Ballfield,16152,0,1.36
Manhattan,Hope Garden,5,0,0.05
Queens,Horace Harding Playground,28437,0,1.3
Queens,Horsebrook Island,780,0,0.03
Bronx,Horseshoe Playground,15988,0,0.43
Brooklyn,Hot Spot Tot Lot,8505,0,0.32
Brooklyn,Houston Playground,9143,0,0.92
Brooklyn,Howard Av Block Association,0,0,0.22
Manhattan,Howard Bennett Playground,45463,0,1.23
Brooklyn,Howard Malls,3809,0,0.19
Brooklyn,Howard Playground,27057,0,1.
Brooklyn,Howard Pool,2438,0,0.67
Queens,Howard Von Dohlen Playground,13075,0,1.38
Queens,Hoyt Playground,23432,0,2.2
Manhattan,Hudson Park,351,0,2.15
Bronx,Hugh J. Grant Circle,26871,0,1.11
Staten Island,Huguenot Ponds Park,117,0,1.53
Brooklyn,Hull Street Garden,0,0,0.32
Queens,Hull Triangle,2344,0,0.16
Manhattan,Humacao Community Garden,0,0,0.11
Brooklyn,Human Compass Garden,0,0,0.07
Manhattan,Hunter's Point SouthPark,207287,0,10.
Queens,Hunter's Point South Park,207287,0,10.
Bronx,Hunts Point Playground,8386,0,0.72
Bronx,Hunts Point Riverside Park,9846,0,0.43
Bronx,Hutchinson River Parkway,2419,0,229.14
Bronx,Hutton Triangle,2730,0,0.1
Staten Island,Hybrid Oak Woods Park,117,0,9.76
Bronx,I-Am-Park,10576,0,0.71
Staten Island,Ida Court,5214,0,1.6
Queens,Idlewild Park,6642,530000,180.85
Manhattan,Imagination Playground,7818,0,0.39
Brooklyn,Imani Ii Garden,0,0,0.07
Staten Island,Ingram Woods,5023,0,3.77
Manhattan,Inwood Hill Park,149331,0,196.4
Bronx,Inwood Park,12054,0,0.36
Brooklyn,Irving Square Park,13364,0,2.76
Brooklyn,Isabahlia Community Garden,0,0,0.06
Manhattan,Isham Park,25545,0,20.13
Bronx,Isla Verde Garden,0,0,0.16
Staten Island,Isle Of Meadows,645,0,87.52
Manhattan,J. Hood Wright Park,75619,1250,6.7
Brooklyn,J.J. Byrne Playground,46862,0,3.03
Manhattan,Jackie Robinson Community Garden,0,0,0.06
Manhattan,Jackie Robinson Park,187010,0,12.77
Brooklyn,Jackie Robinson Park Playground,55876,0,1.61
Brooklyn,Jackie Robinson Parkway,0,0,72.75
Queens,Jackie Robinson Parkway,0,0,72.75
Brooklyn,Jackie Robinson Playground,40855,0,1.
Queens,Jackson Mill Green,2886,0,0.07
Manhattan,Jackson Square,5119,0,0.23
Bronx,Jackson-Forest Community Garden,2781,0,0.18
Manhattan,Jacob H. Schiff Playground,38441,0,3.85
Brooklyn,Jacob Joffe Fields,10033,0,2.98
Queens,Jacob Riis Triangle,1118,0,0.01
Brooklyn,Jacob's Ladder Playground,6789,0,1.09
Brooklyn,Jaime Campiz Playground,12918,0,0.75
Queens,Jamaica Bay Park,28,0,149.54
Queens,Jamaica Gateway Park,78,0,0.9
Queens,Jamaica Playground,7518,0,2.46
Manhattan,James J Walker Park,9806,0,1.67
Manhattan,James Madison Plaza,5735,0,0.36
Manhattan,James Weldon Johnson Playground,7540,0,1.05
Manhattan,Jane Street Garden,168,0,0.06
Bronx,Jardin De La Familia,112,0,0.32
Bronx,Jardin De La Roca,0,0,0.23
Bronx,Jardin De Las Rosas,0,0,0.06
Brooklyn,Java Garden,0,0,0.06
Manhattan,Jefferson Market Garden,1118,0,0.36
Bronx,Jennie Jerome Playground,4973,0,0.29
Staten Island,Jennifer's Playground,20716,0,1.6
Brooklyn,Jerome Gardens,0,0,0.04
Bronx,Jerome Park,3620,0,4.36
Brooklyn,Jerome Playground (Brooklyn),7911,0,0.69
Bronx,Jerome Playground South,4024,0,0.35
Bronx,Jerome Slope,17832,0,0.76
Brooklyn,Jerry And The Senior Gents,0,0,0.06
Brooklyn,Jes Good Rewards Childeren's Garden,0,0,0.21
Brooklyn,Jesse Owens Playground,5181,0,2.33
Staten Island,Joe Holzka Community Garden,0,0,0.43
Brooklyn,John Allen Payne Playground,10870,0,1.51
Brooklyn,John Hancock Playground,16769,0,1.55
Brooklyn,John J Carty Park,42694,0,8.57
Manhattan,John Jay Park,87847,0,3.31
Brooklyn,John Paul Jones Park,9366,0,5.32
Manhattan,John V. Lindsay East River Park,129965,0,45.88
Queens,John Vincent Daniels Jr. Square,13486,0,0.25
Manhattan,Johnny Hartman Square,5772,0,0.02
Staten Island,Jones Woods Park,4472,0,16.93
Brooklyn,Jordan Magic Garden,0,0,0.12
Queens,Joseph Austin Playground,26049,0,3.81
Manhattan,Joseph C. Sauer Park,5011,0,0.4
Manhattan,Joseph Daniel Wilson Garden,0,0,0.06
Staten Island,Joseph Manna Park,2860,0,0.85
Bronx,Joseph Rodman Drake Park,4849,0,2.49
Queens,Josephine Caminiti Playground,30387,0,0.4
Bronx,Joyce Kilmer Park,32610,0,6.88
Queens,Judge Angelo Graci Triangle,1946,0,0.25
Queens,Judge Moses Weinstein Playground,32020,0,3.25
Bronx,Julio Carballo Fields,15022,0,3.35
Queens,Junction Playground,16223,0,0.54
Queens,Juniper Valley Park,147787,0,55.64
Brooklyn,Kaiser Park,183463,0,26.26
Staten Island,Kaltenmeier Playground,5492,0,1.02
Brooklyn,Kelly Park Playground,47191,0,1.45
Brooklyn,Kelly Park Playground,47143,0,3.45
Bronx,Keltch Park,13985,0,0.29
Manhattan,Kenkeleba House Garden,5,0,0.25
Brooklyn,Kennedy King Playground,20168,0,0.79
Queens,Kennedy Playground,15972,0,5.4
Brooklyn,Ketchum Triangle,1105,0,0.06
Manhattan,Kimlau Square,4113,0,0.24
Staten Island,King Fisher Park,5109,0,23.01
Staten Island,Kingdom Pond Park,91,0,4.22
Bronx,Kingsbridge Heights Community Center,0,0,0.33
Queens,Kissena Corridor Park,152962,0,100.87
Queens,Kissena Corridor Park,43711,0,48.64
Queens,Kissena Park,131755,0,237.15
Brooklyn,Kolbert Playground,71878,0,1.58
Brooklyn,Korean War Veterans Plaza,10142,0,1.2
Brooklyn,Kosciuszko Pool,59509,0,2.39
Brooklyn,Kosciuszko Street Garden,117,0,0.19
Queens,L/CPL Thomas P. Noonan Jr. Playground,65054,0,1.05
Manhattan,La Cuevita Garden,0,0,0.06
Bronx,La Finca Del Sur Community Garden,0,0,0.26
Brooklyn,La Guardia Playground,25986,0,0.41
Brooklyn,La Guardia Playground,12145,0,0.77
Bronx,La Isla Garden,0,0,0.11
Manhattan,La Perla Garden,0,0,0.04
Manhattan,La Plaza Cultural,142,0,0.64
Brooklyn,Lady Moody Triangle,1430,0,0.05
Brooklyn,Lafayette Gardens Playground,31282,0,0.71
Brooklyn,Lafayette Playground,11970,0,0.52
Brooklyn,Lafayette Playground,7837,0,1.19
Manhattan,Lafayette Square,3177,0,0.02
Queens,Laguardia Landing Lights,3592,0,1.47
Queens,Laguardia Landing Lights,3273,0,0.35
Queens,Laguardia Landing Lights,2595,0,1.61
Queens,Laguardia Landing Lights,2470,0,1.99
Queens,Laguardia Landing Lights,2405,0,0.25
Queens,Laguardia Landing Lights,2303,0,1.75
Queens,Laguardia Landing Lights,2138,0,0.46
Queens,Laguardia Landing Lights,221,0,0.14
Queens,Lanett Playground,86002,0,0.97
Staten Island,Laredo Avenue Parcel,1462,0,2.22
Bronx,Las Casitas Community Garden,0,0,0.19
Staten Island,Last Chance Pond Park,2392,0,3.9
Queens,Latham Park,1027,0,0.03
Queens,Latimer Playground,7994,0,1.08
Bronx,Latinos Unidos Garden,0,0,0.12
Queens,Laurelton Parkway,14932,0,59.61
Queens,Laurelton Playground,4206,0,1.79
Queens,Lawrence Triangle,1284,0,0.14
Queens,Lawrence Virgilio Playground,47178,0,3.01
Bronx,Leave It Better Kids' Garden,0,0,0.24
Brooklyn,Lefferts Pl Block Association,0,0,0.07
Queens,Lefferts Playground,11614,0,2.94
Queens,Legion Triangle,1662,0,0.05
Brooklyn,Leif Ericson Park,127347,0,16.8
Staten Island,Lemon Creek Park,12455,0,104.55
Brooklyn,Lentol Garden,3994,0,0.76
Queens,Leonard Square,907,0,0.06
Staten Island,Levy Playground,5887,0,0.49
Queens,Lewis H Latimer House,1047,0,0.32
Brooklyn,Lewis Playground,8468,0,0.16
Bronx,Libertad Urban Farm,0,0,0.1
Staten Island,Lieutenant John H. Martinson Playground,41184,0,1.38
Manhattan,Life Spire Garden,103,0,0.02
Manhattan,Lillian D Wald Playground,4798,0,0.68
Manhattan,Lincoln Center Plaza,0,0,3.8
Brooklyn,Lincoln Rd Block Association,52,0,0.07
Brooklyn,Lincoln Terrace / Arthur S. Somers Park,162484,0,17.14
Brooklyn,Linden Park,43816,0,9.32
Brooklyn,Linden Sitting Area,2968,0,0.14
Brooklyn,Lindower Park,33548,0,6.7
Brooklyn,Lindsay Triangle,4110,0,0.04
Queens,Linnaeus Park,5145,0,2.07
Brooklyn,Linwood Playground,8197,0,0.71
Brooklyn,Lion's Pride Playground,9005,0,0.87
Staten Island,Liotti Ikefugi Playground,7260,0,0.41
Queens,Litchhult Square,468,0,0.07
Brooklyn,Lithuania Square,2496,0,0.02
Queens,Little Bay Park,56503,0,55.22
Bronx,Little Claremont Playground,3400,0,0.55
Manhattan,Little Flower Playground,15021,0,1.29
Bronx,Little Green Garden,0,0,0.12
Brooklyn,Livonia Park,6315,0,0.92
Manhattan,Liz Christy Garden,5,0,0.27
Queens,Locust Grove Civic Triangle,6013,0,0.32
Queens,Locust Manor Civic Association,689,0,0.08
Queens,Locust Manor Playground,31292,0,2.
Bronx,Locust Point Marina,0,0,22.07
Queens,London Planetree Playground,54319,0,1.84
Queens,Long Island Mews,5427,0,0.32
Staten Island,Long Pond Park,330,0,91.09
Bronx,Longfellow Playground,3441,0,0.37
Staten Island,Lopez Playground,8062,0,1.12
Bronx,Loreto Playground,17492,0,2.18
Manhattan,Los Amigos Garden,5,0,0.06
Queens,Lost Battalion Hall Recreation Center,7647,0,2.41
Brooklyn,Lot,1339,0,1.7
Brooklyn,Lot,1313,0,2.88
Bronx,Lot,195,0,1.19
Brooklyn,Lot,0,0,0.98
Brooklyn,Lott Park,827,0,0.06
Queens,Louis Armstrong Community Center,1002,0,0.45
Queens,Louis Armstrong Playground,25508,0,1.09
Queens,Louis C. Moser Playground,3990,0,1.5
Manhattan,Louis Cuvillier Park,301,0,2.75
Queens,Louis Pasteur Park,15488,0,3.67
Brooklyn,Louis Pl Friends,0,0,0.04
Manhattan,Lower East Side Ecology Center,21,0,0.15
Manhattan,Lower East Side Playground,4279,0,0.83
Brooklyn,Lowry Triangle,3939,0,0.11
Bronx,Lozada Playground,11261,0,1.05
Queens,Lt. Clinton L .Whiting Square,1180,0,0.05
Brooklyn,Lt. Federico Narvaez Tot Lot,8437,0,0.13
Queens,Lt. Frank Mcconnell Park,3185,0,0.21
Brooklyn,Lt. Joseph Petrosino Park,10628,0,0.87
Staten Island,Lt. Lia Playground,14083,0,1.37
Manhattan,Lt. Wm. Tighe Triangle,11227,0,0.16
Queens,Luke J. Lang Square,8830,0,0.
Brooklyn,Luna Playground,9920,0,1.76
Manhattan,Luther Gulick Park,6465,0,1.45
Staten Island,Lyons Pool,36706,0,3.2
Bronx,Lyons Square Playground,9001,0,1.32
Manhattan,MacArthur Playground,11957,0,0.33
Queens,MacDonald Park,24560,0,1.42
Brooklyn,Machate Circle,8970,0,4.32
Bronx,Maclaughlin Playground,7728,0,0.3
Queens,Macneil Park,43074,0,28.87
Bronx,Macombs Dam Park,99005,0,44.17
Brooklyn,Macri Triangle,6247,0,0.57
Brooklyn,Madison Community Greenthumb,0,0,0.06
Brooklyn,Madison Square Garden Association,0,0,0.17
Manhattan,Madison Square Park,14042,1421056,6.23
Brooklyn,Madison Street Block Association,0,0,0.08
Manhattan,Mae Grant Playground,10372,0,0.97
Queens,Mafera Park,29234,0,5.4
Bronx,Magenta Playground,15874,0,1.21
Manhattan,Magic Garden,0,0,0.1
Staten Island,Mahoney Playground,17314,0,2.21
Bronx,Major General John R Brown Triangle,2217,0,0.14
Queens,Major Mark Park,5499,0,0.9
Queens,Mall Eighteen,248,0,0.09
Queens,Mall Forty Two Xlii,6711,0,1.43
Queens,Mall Thirty Four Xxxiv,1669,0,0.55
Brooklyn,Manhattan Beach Park,146464,0,42.94
Brooklyn,Manley's Pl,0,0,0.28
Staten Island,Manor Park,0,0,1.78
Queens,Manuel De Dios Unanue Triangle,1582,0,0.04
Bronx,Mapes Ballfield,5848,0,1.81
Bronx,Mapes Pool,41460,0,0.68
Queens,Maple Grove Park,3711,0,1.5
Queens,Maple Playground,32725,0,0.98
Staten Island,Maple Woods,2392,0,0.77
Bronx,Marble Hill Playground,33836,0,1.65
Manhattan,Marble Hill Playground,33836,0,1.65
Brooklyn,Marc And Jason's Playground,46598,0,1.33
Queens,Marconi Park,39732,0,4.64
Manhattan,Marcus Garvey Park,215096,0,20.17
Brooklyn,Marcus Garvey Tenant's Assoc. Garden,0,0,0.23
Brooklyn,Marcy Green Center,3164,0,0.2
Brooklyn,Marcy Green North,3911,0,0.14
Brooklyn,Marcy Green South,3718,0,0.1
Brooklyn,Marcy Park South,7830,0,0.36
Brooklyn,Marcy Playground,38467,0,3.2
Queens,Margaret I. Carman Green - Weeping Beech,30946,0,2.6
Manhattan,Margrichante Garden,0,0,0.17
Brooklyn,Maria Hernandez Park,192265,0,6.87
Queens,Marie Curie Playground,31799,0,2.55
Brooklyn,Marine Park,196689,0,798.
Staten Island,Mariners Harbor Playground,7208,0,0.27
Staten Island,Mariners Marsh Park,4628,0,107.58
Brooklyn,Marion Hopkinson Playground,19327,0,1.32
Staten Island,Markham Playground,17003,0,2.84
Brooklyn,Marlboro Playground,11891,0,1.07
Brooklyn,Martin Luther King Jr. Playground,50570,0,2.29
Bronx,Martin Luther King Triangle,6339,0,0.12
Bronx,Martin Luther King Triangle,3556,0,0.16
Manhattan,"Martin Luther King, Jr. Playground",17260,0,1.
Brooklyn,Martin Luther Playground,17062,0,0.91
Brooklyn,Martinez Playground,9984,0,1.37
Manhattan,Marx Brothers Playground,14481,0,1.48
Manhattan,Mathews-Palmer Playground,12051,0,0.48
Manhattan,Matthew P. Sapolin Playground,30725,0,0.95
Bronx,Matthews Muliner Playground,16116,0,1.02
Queens,Maurice A FitzGerald Playground,37098,0,1.2
Bronx,Mazzei Playground,16966,0,1.59
Manhattan,McCaffrey Playground,16172,0,0.44
Brooklyn,McCarren Park,492753,0,36.49
Manhattan,McCarthy Square,4056,0,0.04
Brooklyn,McDonald Playground (Brooklyn),32437,0,3.49
Brooklyn,McGuire Fields,9541,0,77.18
Queens,Mckee Triangle,290,0,0.06
Manhattan,McKenna Square,5659,0,0.35
Queens,Mckenna Triangle,1447,0,0.01
Brooklyn,McKinley Park,66834,0,8.25
Manhattan,McKinley Playground,6488,0,0.56
Bronx,Mckinley Square,6019,0,0.12
Queens,Mckinley's Children's Garden,0,0,0.29
Brooklyn,McLaughlin Park,109088,0,1.98
Queens,McLaughlin Playground,4258,0,0.36
Brooklyn,Mellett Playground,41955,0,1.06
Bronx,Melrose Commons Park,0,0,1.08
Bronx,Melrose Playground,9815,0,1.
Brooklyn,Memorial Gore,2041,0,0.07
Queens,Mentone Playground,325,0,1.1
Manhattan,Mercer Playground,4678,0,0.45
Manhattan,Merchant's House Museum,1626,0,0.07
Staten Island,MeredithWoods,1664,0,47.52
Bronx,Merriam Playground,26559,0,2.94
Queens,Metro Triangle,1300,0,0.02
Brooklyn,Metropolitan Recreation Center,28458,0,0.18
Brooklyn,Meucci Triangle,1190,0,0.05
Bronx,Michel Triangle,4494,0,0.28
Queens,Middle Village Playground,7026,0,0.45
Queens,Middle Village Veterans Triangle,767,0,0.03
Queens,Middleburgh Triangle,649,0,0.
Brooklyn,Middleton Playground,12731,0,1.1
Staten Island,Midland Field,23980,0,7.46
Queens,Midland Malls,2824,0,1.8
Staten Island,Midland Playground,22958,0,1.68
Bronx,Miele Park,1661,0,0.39
Brooklyn,Milestone Park,17022,0,0.48
Bronx,Mill Pond Park,33296,0,11.57
